time,Z,N,E
192.6,495641.5486403247,-98852.44781523764,-39375.296124788154
192.8,665374.3869722096,-311548.6315163334,-244083.24232152133
193.0,708285.5774968186,-428079.9806125984,-407718.91024111613
193.2,471489.5219003393,-510375.0267128437,-452780.9014622277
193.4,40928.646456431496,-585919.9676681296,-491796.90525284765
193.6,-358984.4814601084,-539386.4707805319,-458352.5697742954
193.8,-696197.8460658606,-350644.4508522088,-358144.87353252916
194.0,-912129.031308407,-231177.01624983212,-278390.5313066065
194.2,-948120.3959789153,-72536.16775853618,-234807.59912412448
194.4,-984943.8326624433,114277.59843282528,-221659.99719479406
194.6,-852208.8908183567,307140.9439461319,-190289.0174431868
194.8,-758494.563239274,382554.28419809864,-137819.63690961702
195.0,-831037.5360750073,370647.5464308712,-75310.50950035616
195.2,-1097174.9282532083,213302.84438876764,22813.182805820117
195.4,-1435741.1452439884,114204.35946560896,95434.04004333912
195.6,-1720939.3914430449,-67434.09755663897,149425.21310473428
195.8,-1803153.1195673994,-221673.59430593948,193656.17744604868
196.0,-1663726.3660928449,-266660.06950472866,141615.08543733324
196.2,-1487764.5181206865,-193645.08585275695,14889.26533023891
196.4,-1249248.3180143514,-104931.13398067067,-83001.16161232178
196.6,-848091.9056389611,35677.79136994443,-170597.88083875185
196.8,-266749.08412246674,233318.1726812117,-174144.29242328656
197.0,322120.4598823948,421538.1540952404,-113207.34246602797
197.2,829624.1719893576,542680.7072570651,-39125.25108906585
197.4,1356942.1007829937,572374.442845869,39391.33090485335
197.6,1797642.826732693,599868.5743225679,127857.63822372755
197.8,2130702.198051784,635805.4546958053,194047.94883927467
198.0,2351559.4694367135,599125.4821886803,276093.7638249918
198.2,2298499.1942594955,524879.5213934294,376348.19496276934
198.4,2022587.8237959568,468424.35880256287,443166.2489246702
198.6,1607160.3466456248,507570.66626106686,407099.27579047065
198.8,1053472.3638340735,436659.9417055293,336470.9573752975
199.0,608217.7143548959,258696.5327205094,264210.33360291703
199.2,207513.79024127347,-14269.960541229208,198705.23436890883
199.4,-74965.84281443279,-303468.16698732245,136332.10632268427
199.6,-298708.74001171195,-586179.0560293536,111007.58093873225
199.8,-539736.6695904167,-723177.4802422221,113631.83452543223
200.0,-815792.9417559897,-865879.7141785314,165758.6552217962
200.2,-1074871.5191557854,-952379.6620029332,158441.31391585062
200.4,-1259121.3512721497,-948952.7687832407,123131.14646394925
200.6,-1332957.5507769643,-845928.1509275584,80907.70513846168
200.8,-1343269.192962903,-658014.683425129,4615.029286997124
201.0,-1242612.8493481998,-424460.8419344372,-39284.5036770941
201.2,-991923.095100714,-275840.97428363806,-61085.162374303756
201.4,-650730.8016164633,-30249.374513622482,-60204.91939659762
201.6,-205505.0639700103,194903.76154305003,-166.5482471821472
201.8,234395.11856640666,355416.7960490984,34642.91456956468
202.0,543344.5691719553,422478.67977955163,22287.684706608026
202.2,686341.9191210588,405916.7494779946,30789.335820803248
202.4,786035.8604525775,339676.2154425956,15750.969981562843
202.6,807288.6303779618,398867.15670387476,-27188.560681670402
202.8,747796.0510742371,501990.9955076457,-36734.313123001615
203.0,553145.4086474916,644926.9329263155,-37930.598402606905
203.2,345286.04869726044,764123.7889865933,7820.521544224098
203.4,7057.503977251055,895638.382352659,66546.35374433643
203.6,-314140.383182187,977907.2820211421,88075.5811775546
203.8,-519987.471299474,941065.1674901923,49776.616621044894
204.0,-609848.0293821403,785728.3688656305,1288.7167339701339
204.2,-546364.0879682626,537151.942181587,-48750.47173456667
204.4,-286473.7812644942,259089.0009530352,-12596.244195541934
204.6,33338.434909755175,-226.66493034795903,34013.20802334215
204.8,311898.8611976566,-320811.7360891921,52329.52798493238
205.0,372899.2628388414,-620280.2011734342,61136.78503644427
205.2,327422.43542703416,-873292.6182147817,35.536489483490726
205.4,327372.7324136782,-1109969.5519534233,-111887.95858752477
205.6,246404.66883688947,-1267503.1570672465,-188505.5411083923
205.8,137183.93771741827,-1262714.5597751108,-256571.60237271828
206.0,-35830.057210897525,-1193045.468101261,-310285.2478307276
206.2,-136363.17909610653,-1005466.2360581997,-388542.2227805465
206.4,-70031.90463248473,-730979.1961244813,-412645.86816093634
206.6,168294.47477056726,-536272.1912308774,-371061.50831355946
206.8,454547.0999316212,-427817.4935484116,-291808.585048621
207.0,678568.1233634049,-291280.260333511,-146941.7292382499
207.2,786541.8495273418,-198366.92724424804,-41928.7293952027
207.4,764887.8051875064,-122618.74196796268,-16174.281488005417
207.6,619816.2677328573,-109038.57837572583,-34638.61883046651
207.8,588598.8156603083,-104021.15484046447,-22562.799654071638
208.0,574661.4540110839,-80101.6439549777,12169.182608821427
208.2,504000.8823784942,33834.27302054247,60049.99528058634
208.4,329199.71606200334,110637.28653055466,46355.6741196453
208.6,117734.30237119825,114749.29450487233,16148.22125288789
208.8,-99437.39242107647,156418.65376402228,-56069.36572167838
209.0,-353598.6704387194,187196.8627310528,-108448.8596841855
209.2,-593909.4416456195,173260.89919867314,-129823.80733381354
209.4,-716236.9261865679,190189.70387711452,-138055.07013503346
209.6,-746674.2316307108,264298.3536754309,-113047.60983162213
209.8,-723319.6170010231,360650.053124311,-87611.22257381564
210.0,-644447.2715577625,389059.5036754252,-18338.13746667551
210.2,-533116.4163348682,360665.93842738454,51040.31272665849
210.4,-451298.23830078566,173121.35393922808,145738.08373659762
210.6,-464876.16317995347,-53747.09200486028,252998.3900112015
210.8,-379783.22948179604,-243653.39935554448,363202.7732488968
211.0,-257011.2351047445,-397483.73641285463,450922.5390646795
211.2,-251598.0033187793,-520282.99002003984,466914.0287203201
211.4,-341787.68747076055,-570292.1767084195,431799.67562517757
211.6,-387579.693371235,-548945.6235454568,390762.52651868213
211.8,-300017.89274993393,-309825.5596122441,337673.13139155094
